email,_website,_store,website_id,store_id,created_in,firstname,lastname,group_id,dob,password_hash,gender,reward_update_notification,reward_warning_notification
roni_cost@example.com,base,default,1,1,Default Store View,Veronica,Costello,1,1973-12-15,e10adc3949ba59abbe56e057f20f883e,Female,1,1
john.smith.xyz@gmail.com,base,default,1,1,Default Store View,John,Smith,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jane.doe@hotmail.com,base,default,1,1,Default Store View,Jane,Doe,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
bbjones@gmail.com,base,default,1,1,Default Store View,Bob,Jones,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
helloworld@yahoo.com,base,default,1,1,Default Store View,Sarah,Miller,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jla_7781@gmail.com,base,default,1,1,Default Store View,Julia,Williams,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
bob123@hotmail.com,base,default,1,1,Default Store View,Bob,Johnson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
marym@gmail.com,base,default,1,1,Default Store View,Mary,Martin,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
john.lee@yahoo.com,base,default,1,1,Default Store View,John,Lee,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
janesmith@gmail.com,base,default,1,1,Default Store View,Jane,Smith,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
daniel.jackson@hotmail.com,base,default,1,1,Default Store View,Daniel,Jackson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
lisa.kim@gmail.com,base,default,1,1,Default Store View,Lisa,Kim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
matt.baker@yahoo.com,base,default,1,1,Default Store View,Matt,Baker,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
johndoe123@gmail.com,base,default,1,1,Default Store View,John,Doe,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
janesmith456@yahoo.com,base,default,1,1,Default Store View,Jane,Smith,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
coolcat321@hotmail.com,base,default,1,1,Default Store View,Samantha,Jones,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
harrypotterfan1@gmail.com,base,default,1,1,Default Store View,Lily,Potter,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
avidreader99@yahoo.com,base,default,1,1,Default Store View,Grace,Nguyen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
artsygal123@hotmail.com,base,default,1,1,Default Store View,Lucy,Garcia,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
soccerfanatic22@gmail.com,base,default,1,1,Default Store View,Olivia,Lee,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
beachlover99@yahoo.com,base,default,1,1,Default Store View,Ava,Brown,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
fashionista88@gmail.com,base,default,1,1,Default Store View,Sophie,Taylor,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
fitnessjunkie22@yahoo.com,base,default,1,1,Default Store View,Alex,Johnson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
musiclover99@hotmail.com,base,default,1,1,Default Store View,Emma,Davis,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
gamingpro456@gmail.com,base,default,1,1,Default Store View,Adam,Garcia,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jennifer.white@yahoo.com,base,default,1,1,Default Store View,Jennifer,White,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
alex.martin@gmail.com,base,default,1,1,Default Store View,Alex,Martin,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
lisa.green@hotmail.com,base,default,1,1,Default Store View,Lisa,Green,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
michael.nguyen@yahoo.com,base,default,1,1,Default Store View,Michael,Nguyen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
david.lee@gmail.com,base,default,1,1,Default Store View,David,Lee,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jason.miller@yahoo.com,base,default,1,1,Default Store View,Jason,Miller,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
katie.wong@hotmail.com,base,default,1,1,Default Store View,Katie,Wong,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
adam.garcia@gmail.com,base,default,1,1,Default Store View,Adam,Garcia,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
brian.smith@yahoo.com,base,default,1,1,Default Store View,Brian,Smith,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
samantha.nguyen@gmail.com,base,default,1,1,Default Store View,Samantha,Nguyen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
alexander.thomas@hotmail.com,base,default,1,1,Default Store View,Alexander,Thomas,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
sam.wilson@yahoo.com,base,default,1,1,Default Store View,Sam,Wilson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
kate.jones@gmail.com,base,default,1,1,Default Store View,Kate,Jones,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
david.smith@gmail.com,base,default,1,1,Default Store View,David,Smith,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jessica.nguyen@gmail.com,base,default,1,1,Default Store View,Jessica,Nguyen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
maxwell.baker@yahoo.com,base,default,1,1,Default Store View,Maxwell,Baker,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
emily.chen@hotmail.com,base,default,1,1,Default Store View,Emily,Chen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
anna.nguyen@yahoo.com,base,default,1,1,Default Store View,Anna,Nguyen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
roberto.lopez@hotmail.com,base,default,1,1,Default Store View,Roberto,Lopez,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
amanda.kim@gmail.com,base,default,1,1,Default Store View,Amanda,Kim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jane.doe@gmail.com,base,default,1,1,Default Store View,Jane,Doe,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
john.smith@yahoo.com,base,default,1,1,Default Store View,John,Smith,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jessica.chang@hotmail.com,base,default,1,1,Default Store View,Jessica,Chang,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
james.kim@gmail.com,base,default,1,1,Default Store View,James,Kim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
samantha.wu@yahoo.com,base,default,1,1,Default Store View,Samantha,Wu,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
robert.johnson@gmail.com,base,default,1,1,Default Store View,Robert,Johnson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
sophia.kim@gmail.com,base,default,1,1,Default Store View,Sophia,Kim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
william.chang@hotmail.com,base,default,1,1,Default Store View,William,Chang,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jessica.wong@gmail.com,base,default,1,1,Default Store View,Jessica,Wong,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
ethan.garcia@yahoo.com,base,default,1,1,Default Store View,Ethan,Garcia,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
olivia.jackson@gmail.com,base,default,1,1,Default Store View,Olivia,Jackson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
jacob.rivera@hotmail.com,base,default,1,1,Default Store View,Jacob,Rivera,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
sophia.young@gmail.com,base,default,1,1,Default Store View,Sophia,Young,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
ryan.tanaka@yahoo.com,base,default,1,1,Default Store View,Ryan,Tanaka,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
julie.nguyen@gmail.com,base,default,1,1,Default Store View,Julie,Nguyen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
matthew.kim@gmail.com,base,default,1,1,Default Store View,Matthew,Kim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
emily.wilson@gmail.com,base,default,1,1,Default Store View,Emily,Wilson,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
james.baker@gmail.com,base,default,1,1,Default Store View,James,Baker,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
isabella.santos@gmail.com,base,default,1,1,Default Store View,Isabella,Santos,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
nathan.chen@gmail.com,base,default,1,1,Default Store View,Nathan,Chen,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
hannah.lim@gmail.com,base,default,1,1,Default Store View,Hannah,Lim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
isaac.rodriguez@gmail.com,base,default,1,1,Default Store View,Isaac,Rodriguez,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
natalie.kim@gmail.com,base,default,1,1,Default Store View,Natalie,Kim,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
sean.miller@gmail.com,base,default,1,1,Default Store View,Sean,Miller,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
emma.lopez@gmail.com,base,default,1,1,Default Store View,Emma,Lopez,1,,e10adc3949ba59abbe56e057f20f883e,,1,1
