"Order #","Purchased From (Store)","Purchased On","Bill to Name","Ship to Name","G.T. (Base)","G.T. (Purchased)",Status
000000138,"Main Website
   Madison Island
      English
","Mar 30, 2022 10:17:09 PM","Matt  Baker","Matt  Baker",$115.00,$115.00,Complete
000000195,"Main Website
   Madison Island
      English
","Mar 30, 2022 9:55:02 PM","Lisa  Kim","Lisa  Kim",$133.00,$133.00,Complete
000000001,"Main Website
   Madison Island
      English
","Mar 29, 2022 6:36:37 PM","Veronica  Costello","Veronica  Costello",$36.39,$36.39,Complete
000000223,"Main Website
   Madison Island
      English
","Mar 29, 2022 1:37:54 AM","Bob  Jones","Bob  Jones",$37.00,$37.00,Complete
000000178,"Main Website
   Madison Island
      English
","Mar 28, 2022 1:49:38 PM","Lisa  Kim","Lisa  Kim",$64.00,$64.00,Complete
000000102,"Main Website
   Madison Island
      English
","Mar 28, 2022 5:38:16 AM","Michael  Nguyen","Michael  Nguyen",$56.00,$56.00,Complete
000000030,"Main Website
   Madison Island
      English
","Mar 23, 2022 9:20:44 AM","Alex  Martin","Alex  Martin",$67.00,$67.00,Complete
000000022,"Main Website
   Madison Island
      English
","Mar 21, 2022 9:29:13 PM","Lily  Potter","Lily  Potter",$229.80,$229.80,Complete
000000006,"Main Website
   Madison Island
      English
","Mar 21, 2022 2:32:03 AM","John  Doe","John  Doe",$53.00,$53.00,Complete
000000060,"Main Website
   Madison Island
      English
","Mar 19, 2022 7:56:13 PM","Jennifer  White","Jennifer  White",$60.00,$60.00,Complete
000000115,"Main Website
   Madison Island
      English
","Mar 17, 2022 7:26:26 AM","John  Smith","John  Smith",$180.40,$180.40,Complete
000000104,"Main Website
   Madison Island
      English
","Mar 17, 2022 5:35:24 AM","John  Lee","John  Lee",$130.00,$130.00,Complete
000000282,"Main Website
   Madison Island
      English
","Mar 15, 2022 3:02:48 AM","Brian  Smith","Brian  Smith",$156.00,$156.00,Complete
000000034,"Main Website
   Madison Island
      English
","Mar 13, 2022 1:49:00 AM","Jane  Smith","Jane  Smith",$192.76,$192.76,Complete
000000101,"Main Website
   Madison Island
      English
","Mar 12, 2022 10:37:21 AM","Sarah  Miller","Sarah  Miller",$199.80,$199.80,Complete
000000036,"Main Website
   Madison Island
      English
","Mar 12, 2022 4:42:00 AM","Katie  Wong","Katie  Wong",$162.00,$162.00,Complete
000000111,"Main Website
   Madison Island
      English
","Mar 11, 2022 4:09:34 AM","Lily  Potter","Lily  Potter",$217.12,$217.12,Complete
000000011,"Main Website
   Madison Island
      English
","Mar 9, 2022 3:53:33 PM","Grace  Nguyen","Grace  Nguyen",$143.80,$143.80,Complete
000000130,"Main Website
   Madison Island
      English
","Mar 8, 2022 6:50:37 AM","Adam  Garcia","Adam  Garcia",$108.00,$108.00,Complete
000000010,"Main Website
   Madison Island
      English
","Mar 5, 2022 12:35:51 PM","Matt  Baker","Matt  Baker",$107.60,$107.60,Complete
000000186,"Main Website
   Madison Island
      English
","Mar 3, 2022 8:32:37 AM","Jane  Smith","Jane  Smith",$37.00,$37.00,Complete
000000131,"Main Website
   Madison Island
      English
","Mar 3, 2022 5:41:40 AM","Matt  Baker","Matt  Baker",$79.00,$79.00,Complete
000000016,"Main Website
   Madison Island
      English
","Mar 2, 2022 6:07:09 PM","Grace  Nguyen","Grace  Nguyen",$215.00,$215.00,Complete
000000205,"Main Website
   Madison Island
      English
","Feb 26, 2022 11:53:23 PM","John  Lee","John  Lee",$108.00,$108.00,Complete
000000179,"Main Website
   Madison Island
      English
","Feb 25, 2022 8:54:34 PM","Michael  Nguyen","Michael  Nguyen",$127.00,$127.00,Complete
000000039,"Main Website
   Madison Island
      English
","Feb 25, 2022 1:11:50 PM","Sarah  Miller","Sarah  Miller",$218.85,$218.85,Complete
000000281,"Main Website
   Madison Island
      English
","Feb 23, 2022 1:48:44 AM","Mary  Martin","Mary  Martin",$132.00,$132.00,Complete
000000083,"Main Website
   Madison Island
      English
","Feb 19, 2022 10:00:27 PM","Bob  Johnson","Bob  Johnson",$28.00,$28.00,Complete
000000045,"Main Website
   Madison Island
      English
","Feb 19, 2022 1:32:34 PM","Alex  Johnson","Alex  Johnson",$183.20,$183.20,Complete
000000209,"Main Website
   Madison Island
      English
","Feb 18, 2022 3:54:22 PM","Daniel  Jackson","Daniel  Jackson",$39.00,$39.00,Complete
000000099,"Main Website
   Madison Island
      English
","Feb 14, 2022 2:50:03 PM","Jane  Smith","Jane  Smith",$181.00,$181.00,Complete
000000228,"Main Website
   Madison Island
      English
","Feb 14, 2022 12:53:37 PM","Bob  Jones","Bob  Jones",$59.00,$59.00,Complete
000000175,"Main Website
   Madison Island
      English
","Feb 13, 2022 4:41:59 AM","Katie  Wong","Katie  Wong",$205.64,$205.64,Complete
000000074,"Main Website
   Madison Island
      English
","Feb 11, 2022 7:58:46 AM","Adam  Garcia","Adam  Garcia",$67.80,$67.80,Complete
