Customer,Items,Grand Total
Sarah Miller,5,
Grace Nguyen,4,
Matt Baker,3,
Lily Potter,4,
Ava Brown,2,
Search Term,Results,Number of Uses
bowery,2,2
top,12,1
red,19,1
elizabeth,1,3
chelsea,3,3
Search Term,Results,Number of Uses
nolita,1,8
"24"" Pearl Strand Necklace",7,6
shirt,4,6
Ellis Flat,1,4
chelsea,3,3
"Revenue
$0.00","Tax
$0.00","Shipping
$0.00"
Product Name,Price,Quantity Ordered
Compact mp3 Player,$40.00,60
Florentine Satchel Handbag,$625.00,60
Tori Tank,$60.00,31
Sullivan Sport Coat,$510.00,25
Sullivan Sport Coat,$510.00,25
